"block","agegrp","sex","initial_status","to_Active_Noninjection","to_Active_Injection","to_Nonactive_Noninjection","to_Nonactive_Injection"
"No_Treatment","44_45","Male","Nonactive_Injection",0.000296579748609759,0.00318407101776961,0,0.996519349233621
"No_Treatment","44_45","Female","Active_Noninjection",0.998268794652898,0.000865937092286314,0.000865268254815988,0
"No_Treatment","44_45","Female","Active_Injection",0.000796153139349753,0.998213038769709,0,0.000990808090941119
"No_Treatment","44_45","Female","Nonactive_Noninjection",0.00353294790561166,0.000332633116199431,0.996134418978189,0
"No_Treatment","44_45","Female","Nonactive_Injection",0.000296579748609759,0.00318407101776961,0,0.996519349233621
"No_Treatment","46_47","Male","Active_Noninjection",0.998268794652898,0.000865937092286314,0.000865268254815988,0
"No_Treatment","46_47","Male","Active_Injection",0.000796153139349753,0.998213038769709,0,0.000990808090941119
"No_Treatment","46_47","Male","Nonactive_Noninjection",0.00353294790561166,0.000332633116199431,0.996134418978189,0
"No_Treatment","46_47","Male","Nonactive_Injection",0.000296579748609759,0.00318407101776961,0,0.996519349233621
"No_Treatment","46_47","Female","Active_Noninjection",0.998268794652898,0.000865937092286314,0.000865268254815988,0
"No_Treatment","46_47","Female","Active_Injection",0.000796153139349753,0.998213038769709,0,0.000990808090941119
"No_Treatment","46_47","Female","Nonactive_Noninjection",0.00353294790561166,0.000332633116199431,0.996134418978189,0
"No_Treatment","46_47","Female","Nonactive_Injection",0.000296579748609759,0.00318407101776961,0,0.996519349233621
"No_Treatment","48_49","Male","Active_Noninjection",0.998268794652898,0.000865937092286314,0.000865268254815988,0
"No_Treatment","48_49","Male","Active_Injection",0.000796153139349753,0.998213038769709,0,0.000990808090941119
"No_Treatment","48_49","Male","Nonactive_Noninjection",0.00353294790561166,0.000332633116199431,0.996134418978189,0
"No_Treatment","48_49","Male","Nonactive_Injection",0.000296579748609759,0.00318407101776961,0,0.996519349233621
"No_Treatment","48_49","Female","Active_Noninjection",0.998268794652898,0.000865937092286314,0.000865268254815988,0
"No_Treatment","48_49","Female","Active_Injection",0.000796153139349753,0.998213038769709,0,0.000990808090941119
"No_Treatment","48_49","Female","Nonactive_Noninjection",0.00353294790561166,0.000332633116199431,0.996134418978189,0
"No_Treatment","48_49","Female","Nonactive_Injection",0.000296579748609759,0.00318407101776961,0,0.996519349233621
"No_Treatment","50_51","Male","Active_Noninjection",0.998268794652898,0.000865937092286314,0.000865268254815988,0
"No_Treatment","50_51","Male","Active_Injection",0.000796153139349753,0.998213038769709,0,0.000990808090941119
"No_Treatment","50_51","Male","Nonactive_Noninjection",0.00353294790561166,0.000332633116199431,0.996134418978189,0
"No_Treatment","50_51","Male","Nonactive_Injection",0.000296579748609759,0.00318407101776961,0,0.996519349233621
"No_Treatment","50_51","Female","Active_Noninjection",0.998268794652898,0.000865937092286314,0.000865268254815988,0
"No_Treatment","50_51","Female","Active_Injection",0.000796153139349753,0.998213038769709,0,0.000990808090941119
"No_Treatment","50_51","Female","Nonactive_Noninjection",0.00353294790561166,0.000332633116199431,0.996134418978189,0
"No_Treatment","50_51","Female","Nonactive_Injection",0.000296579748609759,0.00318407101776961,0,0.996519349233621
"No_Treatment","52_53","Male","Active_Noninjection",0.998268794652898,0.000865937092286314,0.000865268254815988,0
"No_Treatment","52_53","Male","Active_Injection",0.000796153139349753,0.998213038769709,0,0.000990808090941119
"No_Treatment","52_53","Male","Nonactive_Noninjection",0.00353294790561166,0.000332633116199431,0.996134418978189,0
"No_Treatment","52_53","Male","Nonactive_Injection",0.000296579748609759,0.00318407101776961,0,0.996519349233621
"No_Treatment","52_53","Female","Active_Noninjection",0.998268794652898,0.000865937092286314,0.000865268254815988,0
"No_Treatment","52_53","Female","Active_Injection",0.000796153139349753,0.998213038769709,0,0.000990808090941119
"No_Treatment","52_53","Female","Nonactive_Noninjection",0.00353294790561166,0.000332633116199431,0.996134418978189,0
"No_Treatment","52_53","Female","Nonactive_Injection",0.000296579748609759,0.00318407101776961,0,0.996519349233621
"No_Treatment","54_55","Male","Active_Noninjection",0.99797330139285,0.00103117727639105,0.000995521330759464,0
"No_Treatment","54_55","Male","Active_Injection",0.000720870524483821,0.998545666852151,0,0.000733462623365416
"No_Treatment","54_55","Male","Nonactive_Noninjection",0.00361960929070972,0.000214477269772122,0.996165913439518,0
"No_Treatment","54_55","Male","Nonactive_Injection",0.000235930554242481,0.00283411083712038,0,0.996929958608638
"No_Treatment","54_55","Female","Active_Noninjection",0.99797330139285,0.00103117727639105,0.000995521330759464,0
"No_Treatment","54_55","Female","Active_Injection",0.000720870524483821,0.998545666852151,0,0.000733462623365416
"No_Treatment","54_55","Female","Nonactive_Noninjection",0.00361960929070972,0.000214477269772122,0.996165913439518,0
"No_Treatment","54_55","Female","Nonactive_Injection",0.000235930554242481,0.00283411083712038,0,0.996929958608638
"No_Treatment","56_57","Male","Active_Noninjection",0.997677808132801,0.00119641746049578,0.00112577440670294,0
"No_Treatment","56_57","Male","Active_Injection",0.000645587909617889,0.998878294934592,0,0.000476117155789714
"No_Treatment","56_57","Male","Nonactive_Noninjection",0.00370627067580778,9.63214233448135e-05,0.996197407900847,0
"No_Treatment","56_57","Male","Nonactive_Injection",0.000175281359875204,0.00248415065647115,0,0.997340567983654
"No_Treatment","56_57","Female","Active_Noninjection",0.997677808132801,0.00119641746049578,0.00112577440670294,0
"No_Treatment","56_57","Female","Active_Injection",0.000645587909617889,0.998878294934592,0,0.000476117155789714
"No_Treatment","56_57","Female","Nonactive_Noninjection",0.00370627067580778,9.63214233448135e-05,0.996197407900847,0
"No_Treatment","56_57","Female","Nonactive_Injection",0.000175281359875204,0.00248415065647115,0,0.997340567983654
"No_Treatment","58_59","Male","Active_Noninjection",0.997677808132801,0.00119641746049578,0.00112577440670294,0
"No_Treatment","58_59","Male","Active_Injection",0.000645587909617889,0.998878294934592,0,0.000476117155789714
"No_Treatment","58_59","Male","Nonactive_Noninjection",0.00370627067580778,9.63214233448135e-05,0.996197407900847,0
"No_Treatment","58_59","Male","Nonactive_Injection",0.000175281359875204,0.00248415065647115,0,0.997340567983654
"No_Treatment","58_59","Female","Active_Noninjection",0.997677808132801,0.00119641746049578,0.00112577440670294,0
"No_Treatment","58_59","Female","Active_Injection",0.000645587909617889,0.998878294934592,0,0.000476117155789714
"No_Treatment","58_59","Female","Nonactive_Noninjection",0.00370627067580778,9.63214233448135e-05,0.996197407900847,0
"No_Treatment","58_59","Female","Nonactive_Injection",0.000175281359875204,0.00248415065647115,0,0.997340567983654
"No_Treatment","60_61","Male","Active_Noninjection",0.997677808132801,0.00119641746049578,0.00112577440670294,0
"No_Treatment","60_61","Male","Active_Injection",0.000645587909617889,0.998878294934592,0,0.000476117155789714
"No_Treatment","60_61","Male","Nonactive_Noninjection",0.00370627067580778,9.63214233448135e-05,0.996197407900847,0
"No_Treatment","60_61","Male","Nonactive_Injection",0.000175281359875204,0.00248415065647115,0,0.997340567983654
"No_Treatment","60_61","Female","Active_Noninjection",0.997677808132801,0.00119641746049578,0.00112577440670294,0
"No_Treatment","60_61","Female","Active_Injection",0.000645587909617889,0.998878294934592,0,0.000476117155789714
"No_Treatment","60_61","Female","Nonactive_Noninjection",0.00370627067580778,9.63214233448135e-05,0.996197407900847,0
"No_Treatment","60_61","Female","Nonactive_Injection",0.000175281359875204,0.00248415065647115,0,0.997340567983654
"No_Treatment","62_63","Male","Active_Noninjection",0.997677808132801,0.00119641746049578,0.00112577440670294,0
"No_Treatment","62_63","Male","Active_Injection",0.000645587909617889,0.998878294934592,0,0.000476117155789714
"No_Treatment","62_63","Male","Nonactive_Noninjection",0.00370627067580778,9.63214233448135e-05,0.996197407900847,0
"No_Treatment","62_63","Male","Nonactive_Injection",0.000175281359875204,0.00248415065647115,0,0.997340567983654
"No_Treatment","62_63","Female","Active_Noninjection",0.997677808132801,0.00119641746049578,0.00112577440670294,0
"No_Treatment","62_63","Female","Active_Injection",0.000645587909617889,0.998878294934592,0,0.000476117155789714
"No_Treatment","62_63","Female","Nonactive_Noninjection",0.00370627067580778,9.63214233448135e-05,0.996197407900847,0
"No_Treatment","62_63","Female","Nonactive_Injection",0.000175281359875204,0.00248415065647115,0,0.997340567983654
"No_Treatment","64_65","Male","Active_Noninjection",0.997677808132801,0.00119641746049578,0.00112577440670294,0
"No_Treatment","64_65","Male","Active_Injection",0.000645587909617889,0.998878294934592,0,0.000476117155789714
"No_Treatment","64_65","Male","Nonactive_Noninjection",0.00370627067580778,9.63214233448135e-05,0.996197407900847,0
"No_Treatment","64_65","Male","Nonactive_Injection",0.000175281359875204,0.00248415065647115,0,0.997340567983654
"No_Treatment","64_65","Female","Active_Noninjection",0.997677808132801,0.00119641746049578,0.00112577440670294,0
"No_Treatment","64_65","Female","Active_Injection",0.000645587909617889,0.998878294934592,0,0.000476117155789714
"No_Treatment","64_65","Female","Nonactive_Noninjection",0.00370627067580778,9.63214233448135e-05,0.996197407900847,0
"No_Treatment","64_65","Female","Nonactive_Injection",0.000175281359875204,0.00248415065647115,0,0.997340567983654
"No_Treatment","66_67","Male","Active_Noninjection",0.997677808132801,0.00119641746049578,0.00112577440670294,0
"No_Treatment","66_67","Male","Active_Injection",0.000645587909617889,0.998878294934592,0,0.000476117155789714
"No_Treatment","66_67","Male","Nonactive_Noninjection",0.00370627067580778,9.63214233448135e-05,0.996197407900847,0
"No_Treatment","66_67","Male","Nonactive_Injection",0.000175281359875204,0.00248415065647115,0,0.997340567983654
"No_Treatment","66_67","Female","Active_Noninjection",0.997677808132801,0.00119641746049578,0.00112577440670294,0
"No_Treatment","66_67","Female","Active_Injection",0.000645587909617889,0.998878294934592,0,0.000476117155789714
"No_Treatment","66_67","Female","Nonactive_Noninjection",0.00370627067580778,9.63214233448135e-05,0.996197407900847,0
"No_Treatment","66_67","Female","Nonactive_Injection",0.000175281359875204,0.00248415065647115,0,0.997340567983654
"No_Treatment","68_69","Male","Active_Noninjection",0.997677808132801,0.00119641746049578,0.00112577440670294,0
"No_Treatment","68_69","Male","Active_Injection",0.000645587909617889,0.998878294934592,0,0.000476117155789714
"No_Treatment","68_69","Male","Nonactive_Noninjection",0.00370627067580778,9.63214233448135e-05,0.996197407900847,0
"No_Treatment","68_69","Male","Nonactive_Injection",0.000175281359875204,0.00248415065647115,0,0.997340567983654
"No_Treatment","68_69","Female","Active_Noninjection",0.997677808132801,0.00119641746049578,0.00112577440670294,0
"No_Treatment","68_69","Female","Active_Injection",0.000645587909617889,0.998878294934592,0,0.000476117155789714
"No_Treatment","68_69","Female","Nonactive_Noninjection",0.00370627067580778,9.63214233448135e-05,0.996197407900847,0
"No_Treatment","68_69","Female","Nonactive_Injection",0.000175281359875204,0.00248415065647115,0,0.997340567983654
"No_Treatment","70_71","Male","Active_Noninjection",0.997677808132801,0.00119641746049578,0.00112577440670294,0
"No_Treatment","70_71","Male","Active_Injection",0.000645587909617889,0.998878294934592,0,0.000476117155789714
"No_Treatment","70_71","Male","Nonactive_Noninjection",0.00370627067580778,9.63214233448135e-05,0.996197407900847,0
"No_Treatment","70_71","Male","Nonactive_Injection",0.000175281359875204,0.00248415065647115,0,0.997340567983654
"No_Treatment","70_71","Female","Active_Noninjection",0.997677808132801,0.00119641746049578,0.00112577440670294,0
"No_Treatment","70_71","Female","Active_Injection",0.000645587909617889,0.998878294934592,0,0.000476117155789714
"No_Treatment","70_71","Female","Nonactive_Noninjection",0.00370627067580778,9.63214233448135e-05,0.996197407900847,0
"No_Treatment","70_71","Female","Nonactive_Injection",0.000175281359875204,0.00248415065647115,0,0.997340567983654
"No_Treatment","72_73","Male","Active_Noninjection",0.997677808132801,0.00119641746049578,0.00112577440670294,0
