"block","agegrp","sex","oud","counts"
"No_Treatment","74_75","Male","Nonactive_Noninjection",106.4
"No_Treatment","74_75","Male","Nonactive_Injection",35.8
"No_Treatment","74_75","Female","Active_Noninjection",910.6
"No_Treatment","74_75","Female","Active_Injection",305
"No_Treatment","74_75","Female","Nonactive_Noninjection",90
"No_Treatment","74_75","Female","Nonactive_Injection",30.2
"No_Treatment","76_77","Male","Active_Noninjection",924.4
"No_Treatment","76_77","Male","Active_Injection",309.6
"No_Treatment","76_77","Male","Nonactive_Noninjection",91.6
"No_Treatment","76_77","Male","Nonactive_Injection",30.8
"No_Treatment","76_77","Female","Active_Noninjection",824.8
"No_Treatment","76_77","Female","Active_Injection",276.4
"No_Treatment","76_77","Female","Nonactive_Noninjection",81.6
"No_Treatment","76_77","Female","Nonactive_Injection",27.2
"No_Treatment","78_79","Male","Active_Noninjection",924.4
"No_Treatment","78_79","Male","Active_Injection",309.6
"No_Treatment","78_79","Male","Nonactive_Noninjection",91.6
"No_Treatment","78_79","Male","Nonactive_Injection",30.8
"No_Treatment","78_79","Female","Active_Noninjection",824.8
"No_Treatment","78_79","Female","Active_Injection",276.4
"No_Treatment","78_79","Female","Nonactive_Noninjection",81.6
"No_Treatment","78_79","Female","Nonactive_Injection",27.2
"No_Treatment","80_81","Male","Active_Noninjection",666.8
"No_Treatment","80_81","Male","Active_Injection",223.6
"No_Treatment","80_81","Male","Nonactive_Noninjection",66
"No_Treatment","80_81","Male","Nonactive_Injection",22
"No_Treatment","80_81","Female","Active_Noninjection",687.2
"No_Treatment","80_81","Female","Active_Injection",230
"No_Treatment","80_81","Female","Nonactive_Noninjection",68
"No_Treatment","80_81","Female","Nonactive_Injection",22.8
"No_Treatment","82_83","Male","Active_Noninjection",666.8
"No_Treatment","82_83","Male","Active_Injection",223.6
"No_Treatment","82_83","Male","Nonactive_Noninjection",66
"No_Treatment","82_83","Male","Nonactive_Injection",22
"No_Treatment","82_83","Female","Active_Noninjection",687.2
"No_Treatment","82_83","Female","Active_Injection",230
"No_Treatment","82_83","Female","Nonactive_Noninjection",68
"No_Treatment","82_83","Female","Nonactive_Injection",22.8
"No_Treatment","84_85","Male","Active_Noninjection",518.4
"No_Treatment","84_85","Male","Active_Injection",173.8
"No_Treatment","84_85","Male","Nonactive_Noninjection",51.4
"No_Treatment","84_85","Male","Nonactive_Injection",17.2
"No_Treatment","84_85","Female","Active_Noninjection",577.6
"No_Treatment","84_85","Female","Active_Injection",193.4
"No_Treatment","84_85","Female","Nonactive_Noninjection",57.2
"No_Treatment","84_85","Female","Nonactive_Injection",19.2
"No_Treatment","86_87","Male","Active_Noninjection",370
"No_Treatment","86_87","Male","Active_Injection",124
"No_Treatment","86_87","Male","Nonactive_Noninjection",36.8
"No_Treatment","86_87","Male","Nonactive_Injection",12.4
"No_Treatment","86_87","Female","Active_Noninjection",468
"No_Treatment","86_87","Female","Active_Injection",156.8
"No_Treatment","86_87","Female","Nonactive_Noninjection",46.4
"No_Treatment","86_87","Female","Nonactive_Injection",15.6
"No_Treatment","88_89","Male","Active_Noninjection",370
"No_Treatment","88_89","Male","Active_Injection",124
"No_Treatment","88_89","Male","Nonactive_Noninjection",36.8
"No_Treatment","88_89","Male","Nonactive_Injection",12.4
"No_Treatment","88_89","Female","Active_Noninjection",468
"No_Treatment","88_89","Female","Active_Injection",156.8
"No_Treatment","88_89","Female","Nonactive_Noninjection",46.4
"No_Treatment","88_89","Female","Nonactive_Injection",15.6
"No_Treatment","90_91","Male","Active_Noninjection",123.2
"No_Treatment","90_91","Male","Active_Injection",41.2
"No_Treatment","90_91","Male","Nonactive_Noninjection",12.4
"No_Treatment","90_91","Male","Nonactive_Injection",4
"No_Treatment","90_91","Female","Active_Noninjection",204.4
"No_Treatment","90_91","Female","Active_Injection",68.4
"No_Treatment","90_91","Female","Nonactive_Noninjection",20.4
"No_Treatment","90_91","Female","Nonactive_Injection",6.8
"No_Treatment","92_93","Male","Active_Noninjection",123.2
"No_Treatment","92_93","Male","Active_Injection",41.2
"No_Treatment","92_93","Male","Nonactive_Noninjection",12.4
"No_Treatment","92_93","Male","Nonactive_Injection",4
"No_Treatment","92_93","Female","Active_Noninjection",204.4
"No_Treatment","92_93","Female","Active_Injection",68.4
"No_Treatment","92_93","Female","Nonactive_Noninjection",20.4
"No_Treatment","92_93","Female","Nonactive_Injection",6.8
"No_Treatment","94_95","Male","Active_Noninjection",73.2
"No_Treatment","94_95","Male","Active_Injection",24.4
"No_Treatment","94_95","Male","Nonactive_Noninjection",7.4
"No_Treatment","94_95","Male","Nonactive_Injection",2.4
"No_Treatment","94_95","Female","Active_Noninjection",130.6
"No_Treatment","94_95","Female","Active_Injection",43.6
"No_Treatment","94_95","Female","Nonactive_Noninjection",13
"No_Treatment","94_95","Female","Nonactive_Injection",4.4
"No_Treatment","96_97","Male","Active_Noninjection",23.2
"No_Treatment","96_97","Male","Active_Injection",7.6
"No_Treatment","96_97","Male","Nonactive_Noninjection",2.4
"No_Treatment","96_97","Male","Nonactive_Injection",0.8
"No_Treatment","96_97","Female","Active_Noninjection",56.8
"No_Treatment","96_97","Female","Active_Injection",18.8
"No_Treatment","96_97","Female","Nonactive_Noninjection",5.6
"No_Treatment","96_97","Female","Nonactive_Injection",2
