"block","agegrp","sex","oud","healthcare_utilization_cost_healthcare_system"
"No_Treatment","84_85","Female","Active_Injection",422.49
"No_Treatment","84_85","Female","Nonactive_Noninjection",201.97
"No_Treatment","84_85","Female","Nonactive_Injection",306.67
"No_Treatment","86_87","Male","Active_Noninjection",301
"No_Treatment","86_87","Male","Active_Injection",422.49
"No_Treatment","86_87","Male","Nonactive_Noninjection",201.97
"No_Treatment","86_87","Male","Nonactive_Injection",306.67
"No_Treatment","86_87","Female","Active_Noninjection",301
"No_Treatment","86_87","Female","Active_Injection",422.49
"No_Treatment","86_87","Female","Nonactive_Noninjection",201.97
"No_Treatment","86_87","Female","Nonactive_Injection",306.67
"No_Treatment","88_89","Male","Active_Noninjection",301
"No_Treatment","88_89","Male","Active_Injection",422.49
"No_Treatment","88_89","Male","Nonactive_Noninjection",201.97
"No_Treatment","88_89","Male","Nonactive_Injection",306.67
"No_Treatment","88_89","Female","Active_Noninjection",301
"No_Treatment","88_89","Female","Active_Injection",422.49
"No_Treatment","88_89","Female","Nonactive_Noninjection",201.97
"No_Treatment","88_89","Female","Nonactive_Injection",306.67
"No_Treatment","90_91","Male","Active_Noninjection",301
"No_Treatment","90_91","Male","Active_Injection",422.49
"No_Treatment","90_91","Male","Nonactive_Noninjection",201.97
"No_Treatment","90_91","Male","Nonactive_Injection",306.67
"No_Treatment","90_91","Female","Active_Noninjection",301
"No_Treatment","90_91","Female","Active_Injection",422.49
"No_Treatment","90_91","Female","Nonactive_Noninjection",201.97
"No_Treatment","90_91","Female","Nonactive_Injection",306.67
"No_Treatment","92_93","Male","Active_Noninjection",301
"No_Treatment","92_93","Male","Active_Injection",422.49
"No_Treatment","92_93","Male","Nonactive_Noninjection",201.97
"No_Treatment","92_93","Male","Nonactive_Injection",306.67
"No_Treatment","92_93","Female","Active_Noninjection",301
"No_Treatment","92_93","Female","Active_Injection",422.49
"No_Treatment","92_93","Female","Nonactive_Noninjection",201.97
"No_Treatment","92_93","Female","Nonactive_Injection",306.67
"No_Treatment","94_95","Male","Active_Noninjection",301
"No_Treatment","94_95","Male","Active_Injection",422.49
"No_Treatment","94_95","Male","Nonactive_Noninjection",201.97
"No_Treatment","94_95","Male","Nonactive_Injection",306.67
"No_Treatment","94_95","Female","Active_Noninjection",301
"No_Treatment","94_95","Female","Active_Injection",422.49
"No_Treatment","94_95","Female","Nonactive_Noninjection",201.97
"No_Treatment","94_95","Female","Nonactive_Injection",306.67
"No_Treatment","96_97","Male","Active_Noninjection",301
"No_Treatment","96_97","Male","Active_Injection",422.49
"No_Treatment","96_97","Male","Nonactive_Noninjection",201.97
"No_Treatment","96_97","Male","Nonactive_Injection",306.67
"No_Treatment","96_97","Female","Active_Noninjection",301
"No_Treatment","96_97","Female","Active_Injection",422.49
"No_Treatment","96_97","Female","Nonactive_Noninjection",201.97
"No_Treatment","96_97","Female","Nonactive_Injection",306.67
"No_Treatment","98_99","Male","Active_Noninjection",301
"No_Treatment","98_99","Male","Active_Injection",422.49
"No_Treatment","98_99","Male","Nonactive_Noninjection",201.97
"No_Treatment","98_99","Male","Nonactive_Injection",306.67
"No_Treatment","98_99","Female","Active_Noninjection",301
"No_Treatment","98_99","Female","Active_Injection",422.49
"No_Treatment","98_99","Female","Nonactive_Noninjection",201.97
"No_Treatment","98_99","Female","Nonactive_Injection",306.67
"Buprenorphine","10_11","Male","Active_Noninjection",162
"Buprenorphine","10_11","Male","Active_Injection",256
"Buprenorphine","10_11","Male","Nonactive_Noninjection",105
"Buprenorphine","10_11","Male","Nonactive_Injection",187
"Buprenorphine","10_11","Female","Active_Noninjection",162
"Buprenorphine","10_11","Female","Active_Injection",256
"Buprenorphine","10_11","Female","Nonactive_Noninjection",105
"Buprenorphine","10_11","Female","Nonactive_Injection",187
"Buprenorphine","12_13","Male","Active_Noninjection",162
"Buprenorphine","12_13","Male","Active_Injection",256
"Buprenorphine","12_13","Male","Nonactive_Noninjection",105
"Buprenorphine","12_13","Male","Nonactive_Injection",187
"Buprenorphine","12_13","Female","Active_Noninjection",162
"Buprenorphine","12_13","Female","Active_Injection",256
"Buprenorphine","12_13","Female","Nonactive_Noninjection",105
"Buprenorphine","12_13","Female","Nonactive_Injection",187
"Buprenorphine","14_15","Male","Active_Noninjection",162
"Buprenorphine","14_15","Male","Active_Injection",256
"Buprenorphine","14_15","Male","Nonactive_Noninjection",105
"Buprenorphine","14_15","Male","Nonactive_Injection",187
"Buprenorphine","14_15","Female","Active_Noninjection",162
"Buprenorphine","14_15","Female","Active_Injection",256
"Buprenorphine","14_15","Female","Nonactive_Noninjection",105
"Buprenorphine","14_15","Female","Nonactive_Injection",187
"Buprenorphine","16_17","Male","Active_Noninjection",162
"Buprenorphine","16_17","Male","Active_Injection",256
"Buprenorphine","16_17","Male","Nonactive_Noninjection",105
"Buprenorphine","16_17","Male","Nonactive_Injection",187
"Buprenorphine","16_17","Female","Active_Noninjection",162
"Buprenorphine","16_17","Female","Active_Injection",256
"Buprenorphine","16_17","Female","Nonactive_Noninjection",105
"Buprenorphine","16_17","Female","Nonactive_Injection",187
"Buprenorphine","18_19","Male","Active_Noninjection",162
"Buprenorphine","18_19","Male","Active_Injection",256
"Buprenorphine","18_19","Male","Nonactive_Noninjection",105
"Buprenorphine","18_19","Male","Nonactive_Injection",187
"Buprenorphine","18_19","Female","Active_Noninjection",162
"Buprenorphine","18_19","Female","Active_Injection",256
"Buprenorphine","18_19","Female","Nonactive_Noninjection",105
"Buprenorphine","18_19","Female","Nonactive_Injection",187
"Buprenorphine","20_21","Male","Active_Noninjection",162
"Buprenorphine","20_21","Male","Active_Injection",256
"Buprenorphine","20_21","Male","Nonactive_Noninjection",105
"Buprenorphine","20_21","Male","Nonactive_Injection",187
"Buprenorphine","20_21","Female","Active_Noninjection",162
"Buprenorphine","20_21","Female","Active_Injection",256
"Buprenorphine","20_21","Female","Nonactive_Noninjection",105
"Buprenorphine","20_21","Female","Nonactive_Injection",187
"Buprenorphine","22_23","Male","Active_Noninjection",162
"Buprenorphine","22_23","Male","Active_Injection",256
"Buprenorphine","22_23","Male","Nonactive_Noninjection",105
"Buprenorphine","22_23","Male","Nonactive_Injection",187
"Buprenorphine","22_23","Female","Active_Noninjection",162
"Buprenorphine","22_23","Female","Active_Injection",256
"Buprenorphine","22_23","Female","Nonactive_Noninjection",105
"Buprenorphine","22_23","Female","Nonactive_Injection",187
"Buprenorphine","24_25","Male","Active_Noninjection",204.5
"Buprenorphine","24_25","Male","Active_Injection",308.5
"Buprenorphine","24_25","Male","Nonactive_Noninjection",136.5
"Buprenorphine","24_25","Male","Nonactive_Injection",228.02
