"agegrp","sex","oud","initial_block","to_No_Treatment_cycle52","to_Buprenorphine_cycle52","to_Naltrexone_cycle52","to_Methadone_cycle52","to_Detox_cycle52","to_corresponding_post_trt_cycle52","to_No_Treatment_cycle104","to_Buprenorphine_cycle104","to_Naltrexone_cycle104","to_Methadone_cycle104","to_Detox_cycle104","to_corresponding_post_trt_cycle104","to_No_Treatment_cycle156","to_Buprenorphine_cycle156","to_Naltrexone_cycle156","to_Methadone_cycle156","to_Detox_cycle156","to_corresponding_post_trt_cycle156"
"34_35","Male","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"34_35","Male","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"34_35","Female","Active_Noninjection","No_Treatment",0.984653020428176,0.00682026674722236,0.000712826347868012,0.00238791667120009,0.00542596980553289,0,0.98343333560279,0.00682026674722236,0.000712826347868012,0.00238791667120009,0.00664565463091944,0,0.984518048230109,0.00682026674722236,0.000712826347868012,0.00238791667120009,0.00556094200360055,0
"34_35","Female","Active_Injection","No_Treatment",0.984653020428176,0.00682026674722236,0.000712826347868012,0.00238791667120009,0.00542596980553289,0,0.98343333560279,0.00682026674722236,0.000712826347868012,0.00238791667120009,0.00664565463091944,0,0.984518048230109,0.00682026674722236,0.000712826347868012,0.00238791667120009,0.00556094200360055,0
"34_35","Female","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"34_35","Female","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"36_37","Male","Active_Noninjection","No_Treatment",0.982487349506836,0.0068339086825091,0.000652869337643525,0.00182696021171314,0.00819891226129798,0,0.980644344619565,0.0068339086825091,0.000652869337643525,0.00182696021171314,0.0100419171485688,0,0.982283399752353,0.0068339086825091,0.000652869337643525,0.00182696021171314,0.0084028620157811,0
"36_37","Male","Active_Injection","No_Treatment",0.982487349506836,0.0068339086825091,0.000652869337643525,0.00182696021171314,0.00819891226129798,0,0.980644344619565,0.0068339086825091,0.000652869337643525,0.00182696021171314,0.0100419171485688,0,0.982283399752353,0.0068339086825091,0.000652869337643525,0.00182696021171314,0.0084028620157811,0
"36_37","Male","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"36_37","Male","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"36_37","Female","Active_Noninjection","No_Treatment",0.985524978454914,0.00656037231902162,0.000807987489931383,0.00207636330907257,0.00503029842706038,0,0.984394235218489,0.00656037231902162,0.000807987489931383,0.00207636330907257,0.00616104166348516,0,0.98539984866983,0.00656037231902162,0.000807987489931383,0.00207636330907257,0.00515542821214402,0
"36_37","Female","Active_Injection","No_Treatment",0.985524978454914,0.00656037231902162,0.000807987489931383,0.00207636330907257,0.00503029842706038,0,0.984394235218489,0.00656037231902162,0.000807987489931383,0.00207636330907257,0.00616104166348516,0,0.98539984866983,0.00656037231902162,0.000807987489931383,0.00207636330907257,0.00515542821214402,0
"36_37","Female","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"36_37","Female","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
